Collection,"""Observation ID""",Target,RA,Dec,"""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release"""
DAO,dao_c122_2006_009571,bias,,,,,,,2006-06-26T13:30:25.000
DAO,dao_c122_2006_009572,bias,,,,,,,2006-06-26T13:30:47.000
DAO,dao_c122_2006_011357,HD183143,291.86218724937606,18.290753830081897,4.942875E-7,5.572875E-7,,,2007-07-23T06:14:49.000
DAO,dao_c122_2006_011360,HD183143,291.85935386548977,18.29033884397353,4.942875E-7,5.572875E-7,,,2007-07-23T07:16:37.000
DAO,dao_c122_2006_011361,HD183143,291.8579370907533,18.290006350568532,4.942875E-7,5.572875E-7,,,2007-07-23T07:47:01.000
DAO,dao_c122_2006_010834,bias,,,4.942875E-7,5.572875E-7,,,2006-07-18T06:44:41.000
DAO,dao_c122_2006_010835,bias,,,4.942875E-7,5.572875E-7,,,2006-07-18T06:45:03.000
DAO,dao_c122_2006_010838,bias,,,4.942875E-7,5.572875E-7,,,2006-07-18T06:46:11.000
DAO,dao_c122_2006_010837,bias,,,4.942875E-7,5.572875E-7,,,2006-07-18T06:45:48.000
DAO,dao_c122_2006_010839,bias,,,4.942875E-7,5.572875E-7,,,2006-07-18T06:46:33.000
DAO,dao_c122_2006_010847,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-18T08:51:25.000
DAO,dao_c122_2006_009575,bias,,,,,,,2006-06-26T13:31:55.000
DAO,dao_c122_2006_009577,bias,,,,,,,2006-06-26T13:32:41.000
DAO,dao_c122_2006_011365,th/ar,,,4.942875E-7,5.572875E-7,,,2006-07-23T09:19:21.000
DAO,dao_c122_2006_010842,HD183143,291.86209013986223,18.29102468463438,4.942875E-7,5.572875E-7,,,2007-07-18T06:48:41.000
DAO,dao_c122_2006_010845,HD183143,291.8616315130396,18.290524955349795,4.942875E-7,5.572875E-7,,,2007-07-18T07:50:29.000
DAO,dao_c122_2006_010846,HD183143,291.861131298711,18.290136363964493,4.942875E-7,5.572875E-7,,,2007-07-18T08:20:53.000
DAO,dao_c122_2006_010848,HD183143,291.8602143931968,18.28966468408727,4.942875E-7,5.572875E-7,,,2007-07-18T08:52:17.000
DAO,dao_c122_2006_010849,HD183143,291.8605060741771,18.28972006749497,4.942875E-7,5.572875E-7,,,2007-07-18T09:22:40.000
DAO,dao_c122_2006_009580,bias,,,,,,,2006-06-26T13:33:49.000
DAO,a2022_08_12_12_30_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2022-08-12T12:29:57.000
DAO,a2021_12_27_03_40_02,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2021-12-27T03:39:58.000
DAO,dao_c122_2006_009596,bias,,,,,,,2006-06-26T13:39:51.000
DAO,a2023_06_20_08_00_01,,,,4.0000000000000003E-7,7.000000000000001E-7,,,2023-06-20T08:00:00.000
DAO,dao_c122_2006_010851,HD183143,291.8608397638606,18.290303202822756,4.942875E-7,5.572875E-7,,,2007-07-18T09:54:05.000
